knowledge_area,area_abstract,area_url,degree,course_number,course_name,course_uoc,course_url,course_outline,faculty,School,course term,timetable,teacher
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,ACTL5105,Life Insurance and Superannuation,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACTL5105/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course covers the actuarial mathematics and models for use in the analysis and actuarial management of life insurance and superannuation contract. Topics covered include: the main forms of life insurance and annuity contracts, disability and long term care contracts and superannuation fund benefits; actuarial notation and the life table; moments of the value of the benefit payments; Thiele's differential equation for policy values; stochastic modelling of claims and benefit payments; gross premiums, net premiums, policy values and reserves; allowing for expenses and inflation; use of discounted emerging costs and profit tests; asset shares in life insurance; termination and alteration values; cost of guarantees; joint life functions; actuarial valuation of disability insurance contracts. ",UNSW Business School,School of Risk and Actuarial Studies,Term 1,http://timetable.unsw.edu.au/2019/ACTL5105.html,arrangement:T1:Dr J  Zhu 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,BINF6111,Genome Informatics Engineering Design Workshop,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/BINF6111/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Engineering software systems for managing and analysing large datasets derived from genomics experiments is a key application of bioinformatics. This course revolves around a guided team project for the design and implementation of a complex system bringing together a variety of tools and methods for analysing genomic data. Methodologies for requirement gathering, system design, project management and documentation will be applied. The project work will be complemented by lectures on algorithms for biological sequence analysis that form the basis of the project work.",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/BINF6111.html,arrangement:T2:Dr BA Gaeta 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,BINF6112,Computational Biology Engineering Design Workshop,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/BINF6112/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Through a practical software project and targeted lectures this course examines various issues in the design and implementation of software systems for the analysis of large complex biological datasets and the application of mathematical and statistical methods to problems in modern life science. Example domains include analysis of gene expression and function, networks of interaction, and systems modeling.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/BINF6112.html,arrangement:T3:Dr ME Bain 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMM5011,Data Analysis for Business,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMM5011/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,This course provides an introduction to basic analytical skills. It provides a solid basis from which data analysis techniques and tools can be applied to solve business problems. There is an emphasis on problem solving and business analytics by both manual and computer methods. The first 6 Lectures will focus on the use of quantitative methods and techniques. The second 6 Lectures will focus on the use of qualitative research methods and techniques.,UNSW Business School,School of Information Systems and Technology Management,"Term 1, Term 3",http://timetable.unsw.edu.au/2019/COMM5011.html,arrangement:T1:Ms C  Van Toorn T3:Dr ET Lim 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP4121,Advanced and Parallel Algorithms,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP4121/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"      Topics chosen from: Spatial, semi-structured and multi-dimensional data storage and manipulation techniques, non Von-Neumann techniques, advanced and parallel algorithmic techniques, algorithm engineering and problem solving practices; algorithms for matrices and systems of linear equations, approximation algorithms, FFT and convolution and their software and circuit implementations, iteration methods for the solution of operator equations.    ",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP4121.html,arrangement:T3:Apro A  Ignjatovic 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP4141,Theory of Computation,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP4141/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Computability: formal languages and problems, Turing Machines TMs, computability, semi-decidability, universal TMs, Church-Turing thesis, halting problem, reduction and undecidability proofs, examples; Complexity: run time, space, complexity classes, non-determinism and NP, polynomial reductions and NP completeness, optimisation problems and approximation, randomisation; Languages and Automata: regular expressions and languages, finite automata, determinisation, context-free grammars and languages CFLs, Chomsky normal form, word problems, pumping lemma, push-down automata, decidability problems for CFLs; Semantics and Correctness: while programs, assertions and program correctness, Hoare logic, loops and loop invariants, relative completeness of Hoare logic and its role in a proof of Gödel's incompleteness result",Faculty of Engineering,School of Computer Science and Engineering,Term 1,http://timetable.unsw.edu.au/2019/COMP4141.html,arrangement:T1:Prof R  Van der Meyden 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP4161,Advanced Topics in Software Verification,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP4161/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course is about mechanical proof assistants, how they work, and what they can be used for. It presents specification and proof techniques used in industrial grade theorem provers, teaches the theoretical background to the techniques involved, and shows how to use a theorem prover to conduct formal proofs in practice. The courses is intended to bring third/fourth year and postgraduate students into contact with the current research topics in the field of theorem proving and automated deduction and to teach them the necessary skills to successfully use industrial grade verification environments in modelling and verification.Topics covered included: higher order logic, natural deduction, lambda calculus, term rewriting, data types and recursive functions, induction principles, calculational reasoning, mathematical proofs, decision procedures for a variety of logical domains, and proofs about programs.Note: experience with first-order logic and functional programming is required.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP4161.html,arrangement:T3:Dr M  Tanaka 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP4418,Knowledge Representation and Reasoning,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP4418/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"      Knowledge Representation and Reasoning KRR is at the core of Artificial Intelligence. It is concerned with the representation of knowledge in symbolic form and the use of this knowledge  for reasoning. This course presents current trends and research issues in Knowledge Representation and Reasoning KRR. It enables students interested in Artificial Intelligence to deepen their  knowledge in this important area and gives them a solid background for doing their own work/research in this area. The topics covered in more detail are AI Logics, Probablilistic  Reasoning, Constraints, and Game Theory.    ",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP4418.html,arrangement:T3:Prof M  Pagnucco 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP4511,User Interface Design and Construction,6 UOC,https://www.handbook.unsw.edu.au/postgraduate/courses/2019/COMP4511/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course is a project-based course designed to build on the basic skills acquired in COMP3511 – Human Computer Interaction. The course addresses the skills and knowledge required in industry to brainstorm, design, implement, and evaluate an application through the user-centred design process. Because this is an iterative process, students will be required to build their interface at least three times, starting with a low-fidelity prototype and building to high-fidelity and more complete prototypes. By the end of the course, students should have a solid understanding of the importance of user-centred design and how it is applied in the industry to design, test and build a functioning application. The course is built to reflect up-to-date industry practice and methods. You would have benefitted from also completing COMP2911, which introduces you to object-oriented techniques, UML and design patterns. Whilst you will be coding in this course to build an iteration of your application, this is not the focus of the course, which remains on design practices and testing of graphical user interfaces. ",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP4511.html,arrangement:T2:Apro N  Marcus 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6324,Internet of Things Service Design and Engineering,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6324/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course aims to introduce the students to core concepts and practical skills for designing and engineering IoT services and applications. Specifically, the course aims to expose students to IoT business strategy, requirements, IoT technologies, solution design and implementation. ",Faculty of Engineering,School of Computer Science and Engineering,Term 1,http://timetable.unsw.edu.au/2019/COMP6324.html,arrangement:T1:Mr MA Al-Banna 
