course term
>Term 1<
>Term 2<
>Term 3<
">Term 1, Term 3<"
>Term 3<
>Term 1<
>Term 3<
>Term 3<
>Term 2<
>Term 1<
>Term 2<
>Term 1<
>Term 3<
>Term 2<
>Summer Term<
None
">Summer Term, Term 3<"
>Term 1<
>Term 3<
>Term 3<
>Term 3<
>Term 2<
>Term 2<
>Term 2<
>Term 1<
>Term 3<
">Term 1, Term 3<"
">Term 1, Term 2, Term 3<"
">Summer Term, Term 1, Term 2, Term 3<"
>Term 3<
>Term 2<
>Term 1<
>Term 1<
>Term 1<
>Term 2<
>Term 3<
>Term 1<
>Term 2<
>Term 3<
>Term 1<
">Term 2, Term 3<"
">Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 2, Term 3<"
>Term 2<
>Term 1<
>Term 2<
">Term 1, Term 3<"
">Term 1, Term 2<"
>Term 3<
">Summer Term, Term 1, Term 2, Term 3<"
>Term 1<
>Term 2<
>Term 1<
">Summer Term, Term 1, Term 2<"
>Term 2<
">Term 2, Term 3<"
>Term 3<
>Term 3<
>Term 3<
None
">Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
>Term 2<
None
None
">Term 1, Term 2, Term 3<"
>Term 2<
>Term 1<
>Term 3<
>Term 2<
>Term 1<
">Term 1, Term 3<"
>Term 2<
>Term 2<
>Term 2<
">Term 1, Term 2, Term 3<"
>Term 1<
>Term 1<
>Term 2<
>Term 1<
">Term 1, Term 3<"
>Term 2<
>Term 3<
">Term 2, Term 3<"
>Term 1<
>Term 1<
">Term 1, Term 2, Term 3<"
>Term 1<
>Term 2<
>Term 2<
>Term 3<
>Term 2<
>Term 1<
None
>Semester 1<
>Semester 1<
>Semester 1<
>Semester 1<
>Semester 2<
">Semester 1, Semester 2<"
>Semester 1<
None
">Semester 1, Semester 2<"
>Semester 2<
>Semester 1<
">Semester 1, Semester 2<"
>Semester 2<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 1<
>Semester 2<
">Semester 1, Semester 2<"
>Semester 1<
None
">Semester 1, Semester 2<"
None
">Semester 1, Semester 2<"
None
">Semester 1, Semester 2<"
None
">Semester 1, Semester 2<"
None
>Semester 2<
>Semester 2<
>Semester 1<
None
">Semester 1, Semester 2<"
>Semester 1<
">Semester 1, Semester 2<"
">Semester 1, Semester 2<"
">Semester 1, Semester 2<"
>Semester 1<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
>Term 1<
">Term 1, Term 2, Term 3<"
>Term 2<
>Term 3<
>Term 2<
>Term 3<
">Term 1, Term 2, Term 3<"
">Term 1, Term 3<"
>Term 1<
None
>Term 2<
>Term 1<
">Term 1, Term 2<"
">Term 2, Term 3<"
">Summer Term, Term 1, Term 2, Term 3<"
None
>Term 1<
>Term 1<
>Term 2<
>Term 2<
>Term 1<
>Term 3<
>Term 1<
">Term 1, Term 3<"
">Summer Term, Term 1, Term 2<"
>Term 2<
>Term 3<
>Term 3<
>Term 2<
>Term 1<
">Term 1, Term 2, Term 3<"
">Summer Term, Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
>Term 3<
>Term 3<
>Term 1<
>Term 3<
>Term 2<
>Term 1<
>Term 3<
>Term 2<
>Term 1<
>Term 3<
">Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 2, Term 3<"
">Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
">Term 1, Term 2, Term 3<"
>Term 1<
>Term 2<
>Term 1<
>Term 3<
>Term 2<
>Summer Term<
None
">Summer Term, Term 3<"
>Term 1<
>Term 3<
>Term 3<
>Term 3<
>Term 2<
>Term 2<
>Term 2<
>Term 1<
>Term 3<
>Term 2<
>Term 3<
">Term 2, Term 3<"
">Term 2, Term 3<"
">Term 2, Term 3<"
>Term 2<
>Term 1<
>Term 2<
">Term 1, Term 3<"
">Term 1, Term 2<"
>Term 3<
>Term 1<
">Term 2, Term 3<"
>Term 3<
>Term 3<
None
">Term 2, Term 3<"
None
None
>Summer Term<
>Term 3<
">Term 1, Term 2, Term 3<"
">Term 1, Term 2<"
">Term 1, Term 3<"
">Summer Term, Term 1<"
>Term 3<
">Summer Term, Term 1, Term 3<"
>Term 1<
">Term 1, Term 3<"
>Term 2<
>Term 1<
">Term 1, Term 2<"
">Term 2, Term 3<"
">Term 1, Term 2<"
>Term 3<
">Term 1, Term 2<"
None
>Term 1<
None
>Term 2<
">Term 1, Term 3<"
None
>Term 1<
None
>Term 1<
>Term 2<
>Term 3<
>Term 1<
>Term 2<
>Term 1<
>Term 3<
>Term 1<
None
>Term 2<
>Term 1<
>Summer Term<
>Term 1<
>Term 3<
>Term 2<
>Term 1<
>Term 3<
>Term 3<
>Term 1<
>Term 1<
>Term 3<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 1<
>Semester 2<
None
>Semester 1<
None
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
">Semester 1, Semester 2<"
">Semester 1, Semester 2<"
>Semester 1<
>Semester 2<
None
>Semester 1<
">Semester 1, Semester 2<"
>Semester 1<
>Semester 1<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 1<
>Semester 2<
>Semester 2<
>Semester 1<
>Semester 1<
>Semester 1<
">Semester 1, Semester 2<"
>Semester 2<
">Semester 1, Semester 2<"
">Semester 1, Semester 2<"
>Semester 1<
>Semester 1<
>Semester 2<
>Semester 2<
>Semester 1<
">Semester 1, Semester 2<"
>Semester 1<
>Semester 2<
